Timestamp,Row,Col,x,y,z,distance,IMU_x,IMU_y,IMU_z,IMU_roll,IMU_pitch,IMU_yaw,LiDAR_x,LiDAR_y,LiDAR_z,LiDAR_roll,LiDAR_pitch,LiDAR_yaw,EKF_x,EKF_y,EKF_z,EKF_roll,EKF_pitch,EKF_yaw
68672,7,2,1450.14,167.73,-106.80,1441,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,7,3,1446.07,3.98,-102.29,1442,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,7,4,1301.47,-143.90,-39.61,1302,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,7,5,524.83,-126.29,283.02,525,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,7,6,504.10,-181.98,292.59,506,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,7,7,494.24,-242.08,297.73,498,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
70173,0,0,2661.73,1082.31,1494.95,2698,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,0,1,2696.29,748.61,1462.38,2710,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,0,2,2738.70,435.09,1435.27,2731,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,0,3,2716.61,123.48,1385.80,2689,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,0,4,2758.13,-176.63,1360.17,2710,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,0,5,547.13,-178.82,584.70,546,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,0,6,519.19,-234.84,567.40,515,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,0,7,522.45,-298.87,559.97,514,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,1,0,2615.62,1106.11,1149.56,2671,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,1,1,2660.80,779.55,1118.80,2694,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,1,2,2687.91,465.03,1085.45,2700,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
